YEAR	GRANT	INSTITUTE	APPLICATIONS	FUNDED	RATE	FUNDING
2011	F30	NIDCR	18	11	61.1	449460
2011	F30	NIDDK	46	26	56.5	1019737
2011	F30	NIEHS	16	6	37.5	219403
2011	F30	NHLBI	99	20	20.2	774426
2011	F30	NIMH	25	6	24.0	198674
2011	F30	Total	274	96	35.0	3695108
2011	F31	NIAAA	66	37	56.1	1245408
2011	F31	NIA	151	49	32.5	1704184
2011	F31	NIAID	59	16	27.1	565591
2011	F31	NIAMS	6	2	33.3	75371
2011	F31	NCCAM	23	5	21.7	174805
2011	F31	NCI	71	28	39.4	969748
2011	F31	NIDA	111	39	35.1	1369038
2011	F31	NIDCD	59	23	39.0	799257
2011	F31	NIDCR	38	19	50.0	644395
2011	F31	NIDDK	21	10	47.6	343573
2011	F31	NIBIB	6	1	16.7	41800
2011	F31	NIEHS	7	2	28.6	72418
2011	F31	NEI	13	4	30.8	132601
2011	F31	NIGMS	85	34	40.0	1189955
2011	F31	NICHD	35	8	22.9	279985
2011	F31	NHGRI	3	2	66.7	75504
2011	F31	NHLBI	30	11	36.7	384165
2011	F31	NIMH	265	59	22.3	2122101
2011	F31	NINR	82	35	42.7	1240173
2011	F31	NINDS	433	140	32.3	4913113
2011	F31	OD Other	0	0	N/A	13645
2011	F31	Total	1498	487	32.5	18356830
2011	F32	NIAAA	21	12	57.1	601632
2011	F32	NIA	57	12	21.1	623736
2011	F32	NIAID	243	39	16.0	1962811
2011	F32	NIAMS	59	22	37.3	1131556
2011	F32	NCCAM	9	2	22.2	123213
2011	F32	NCI	276	53	19.2	2729749
2011	F32	NIDA	52	17	32.7	838489
2011	F32	NIDCD	38	18	47.4	926572
2011	F32	NIDCR	18	9	50.0	459184
2011	F32	NIDDK	184	80	43.5	4280074
2011	F32	NIBIB	30	6	20.0	291363
2011	F32	NIEHS	21	7	33.3	368796
2011	F32	NEI	66	18	27.3	895024
2011	F32	NIGMS	503	136	27.0	6677591
2011	F32	NICHD	110	29	26.4	1447771
2011	F32	NHGRI	6	1	16.7	46346
2011	F32	NHLBI	234	49	20.9	2600721
2011	F32	NIMH	142	31	21.8	1570939
2011	F32	NINR	6	1	16.7	63182
2011	F32	NINDS	222	61	27.5	3133817
2011	F32	OD Other	0	0	N/A	25000
2011	F32	Total	2297	603	26.3	30797566
2011	F33	NIDCR	1	0	0.0	0
2011	F33	NIGMS	7	2	28.6	108646
2011	F33	NHLBI	3	0	0.0	0
2011	F33	NINDS	1	0	0.0	0
2011	F33	Total	12	2	16.7	108646
2012	F05	NIAAA	1	0	0.0	0 
2012	F05	NICHD	1	1	100.0	63650 
2012	F05	NIEHS	1	0	0.0	0 
2012	F05	NIMH	3	1	33.3	66530 
2012	F05	NINDS	2	0	0.0	0 
2012	F05	Total	8	2	25.0	130180 
2012	F30	NCI	107	34	31.8	1243099 
2012	F30	NHLBI	86	17	19.8	616529 
2012	F30	NIA	25	10	40.0	375277 
2012	F30	NIAAA	7	4	57.1	125512 
2012	F30	NIDA	15	7	46.7	250528 
2012	F30	NIDCD	5	1	20.0	33307 
2012	F30	NIDCR	20	10	50.0	384391 
2012	F30	NIDDK	49	28	57.1	1017509 
2012	F30	NIEHS	7	2	28.6	68606 
2012	F30	NIMH	40	21	52.5	773543 
2012	F30	Total	361	134	37.1	4888301 
2012	F31	NCCAM	17	5	29.4	155560 
2012	F31	NCI	333	95	28.5	3327984 
2012	F31	NEI	13	6	46.2	220488 
2012	F31	NHGRI	2	2	100.0	82718 
2012	F31	NHLBI	37	11	29.7	373630 
2012	F31	NIA	128	40	31.3	1500946 
2012	F31	NIAAA	51	29	56.9	1013788 
2012	F31	NIAID	58	12	20.7	441697 
2012	F31	NIAMS	11	4	36.4	130110 
2012	F31	NIBIB	7	1	14.3	34758 
2012	F31	NICHD	37	9	24.3	301410 
2012	F31	NIDA	115	38	33.0	1365774 
2012	F31	NIDCD	70	29	41.4	1015373 
2012	F31	NIDCR	31	13	41.9	483568 
2012	F31	NIDDK	31	9	29.0	332454 
2012	F31	NIEHS	4	1	25.0	28032 
2012	F31	NIGMS	72	20	27.8	714150 
2012	F31	NIMH	284	61	21.5	2197788 
2012	F31	NINDS	390	95	24.4	3375726 
2012	F31	NINR	78	24	30.8	854161 
2012	F31	OD Other	1	1	100.0	35880 
2012	F31	Total	1770	505	28.5	17985995 
2012	F32	NCCAM	9	4	44.4	249747 
2012	F32	NCI	232	42	18.1	2087900 
2012	F32	NEI	73	24	32.9	1252192 
2012	F32	NHGRI	7	3	42.9	145326 
2012	F32	NHLBI	198	42	21.2	2200948 
2012	F32	NIA	69	14	20.3	723041 
2012	F32	NIAAA	29	15	51.7	760198 
2012	F32	NIAID	240	47	19.6	2432503 
2012	F32	NIAMS	86	19	22.1	1001308 
2012	F32	NIBIB	34	10	29.4	459001 
2012	F32	NICHD	119	25	21.0	1287638 
2012	F32	NIDA	59	16	27.1	806036 
2012	F32	NIDCD	52	13	25.0	673683 
2012	F32	NIDCR	20	7	35.0	397702 
2012	F32	NIDDK	165	60	36.4	3190158 
2012	F32	NIEHS	34	9	26.5	496146 
2012	F32	NIGMS	504	153	30.4	7642911 
2012	F32	NIMH	125	27	21.6	1339307 
2012	F32	NINDS	219	58	26.5	2980964 
2012	F32	NINR	10	2	20.0	102928 
2012	F32	Total	2284	590	25.8	30229637 
2012	F33	NHGRI	1	1	100.0	25910 
2012	F33	NHLBI	2	0	0.0	0 
2012	F33	NIA	2	1	50.0	43970 
2012	F33	NIAID	2	2	100.0	124060 
2012	F33	NIAMS	1	1	100.0	35515 
2012	F33	NIDCR	1	1	100.0	64030 
2012	F33	NIEHS	1	1	100.0	62030 
2012	F33	NIGMS	4	2	50.0	105635 
2012	F33	NINDS	1	0	0.0	0 
2012	F33	Total	15	9	60.0	461150 
2013	F05	NIEHS	1	0	0.0	0
2013	F05	NIMH	1	0	0.0	0
2013	F05	NINDS	1	0	0.0	0
2013	F05	Total	3	0	0.0	0
2013	F30	NCI	110	50	45.5	1927894
2013	F30	NHLBI	81	13	16.0	515261 
2013	F30	NIA	36	15	41.7	599161 
2013	F30	NIAAA	7	5	71.4	187427 
2013	F30	NIDA	11	3	27.3	123165 
2013	F30	NIDCD	4	2	50.0	94464 
2013	F30	NIDCR	18	11	61.1	436142 
2013	F30	NIDDK	44	26	59.1	964531 
2013	F30	NIEHS	5	3	60.0	114854 
2013	F30	NIMH	46	16	34.8	632012 
2013	F30	Total	362	144	39.8	5594911 
2013	F31	NCCAM	4	1	25.0	43232 
2013	F31	NCI	372	118	31.7	4268106 
2013	F31	NEI	14	2	14.3	85138 
2013	F31	NHLBI	42	16	38.1	562188 
2013	F31	NIA	141	28	19.9	1050811 
2013	F31	NIAAA	58	23	39.7	812908 
2013	F31	NIAID	56	18	32.1	653425 
2013	F31	NIAMS	15	7	46.7	255170 
2013	F31	NIBIB	13	0	0.0	0 
2013	F31	NICHD	40	7	17.5	259921 
2013	F31	NIDA	133	40	30.1	1418160 
2013	F31	NIDCD	67	24	35.8	832723 
2013	F31	NIDCR	44	24	54.5	872710 
2013	F31	NIDDK	29	9	31.0	312742 
2013	F31	NIEHS	12	2	16.7	75210 
2013	F31	NIGMS	97	26	26.8	913427 
2013	F31	NIMH	250	57	22.8	2027007 
2013	F31	NINDS	355	105	29.6	3719318 
2013	F31	NINR	65	29	44.6	1073064 
2013	F31	Total	1807	536	29.7	19235260 
2013	F32	NCCAM	7	2	28.6	135060 
2013	F32	NCI	265	50	18.9	2516840 
2013	F32	NEI	93	19	20.4	996156 
2013	F32	NHGRI	4	1	25.0	49214 
2013	F32	NHLBI	209	59	28.2	3206739 
2013	F32	NIA	58	10	17.2	517996 
2013	F32	NIAAA	27	13	48.1	655037 
2013	F32	NIAID	246	50	20.3	2587224 
2013	F32	NIAMS	71	19	26.8	1043875 
2013	F32	NIBIB	45	4	8.9	210552 
2013	F32	NICHD	128	22	17.2	1073520 
2013	F32	NIDA	57	21	36.8	1100494 
2013	F32	NIDCD	46	22	47.8	1130474 
2013	F32	NIDCR	18	8	44.4	440292 
2013	F32	NIDDK	176	49	27.8	2627518 
2013	F32	NIEHS	28	6	21.4	354330 
2013	F32	NIGMS	473	117	24.7	5875926 
2013	F32	NIMH	138	24	17.4	1243804 
2013	F32	NINDS	205	56	27.3	2885673 
2013	F32	NINR	3	3	100.0	153342 
2013	F32	OD Other	0	0	N/A	37968 
2013	F32	Total	2297	555	24.2	28842034 
2013	F33	NCI	2	0	0.0	0 
2013	F33	NIAMS	1	1	100.0	51022 
2013	F33	NIGMS	1	1	100.0	40620 
2013	F33	NINDS	1	0	0.0	0 
2013	F33	Total	5	2	40.0	91642 
2014	F30	NCI	93	40	43.0	1533961 
2014	F30	NHGRI	1	1	100.0	35110 
2014	F30	NHLBI	68	22	32.4	876399 
2014	F30	NIA	23	7	30.4	245529 
2014	F30	NIAAA	4	2	50.0	76928 
2014	F30	NIAID	75	25	33.3	970727 
2014	F30	NIAMS	24	6	25.0	229411
2014	F30	NICHD	8	2	25.0	68762
2014	F30	NIDA	10	4	40.0	121840
2014	F30	NIDCD	10	8	80.0	303170
2014	F30	NIDCR	12	7	58.3	309856
2014	F30	NIDDK	45	22	48.9	794858
2014	F30	NIEHS	8	1	12.5	47612 
2014	F30	NIMH	38	14	36.8	493541 
2014	F30	NINDS	6	5	83.3	203217 
2014	F30	Total	425	166	39.1	6310921 
2014	F31	NCCAM	3	1	33.3	43270 
2014	F31	NCI	349	109	31.2	3907028 
2014	F31	NEI	8	1	12.5	34394 
2014	F31	NHGRI	9	0	0.0	0 
2014	F31	NHLBI	48	17	35.4	613743 
2014	F31	NIA	120	25	20.8	922507 
2014	F31	NIAAA	63	28	44.4	1040953 
2014	F31	NIAID	67	25	37.3	859694 
2014	F31	NIAMS	62	6	9.7	206797 
2014	F31	NIBIB	47	13	27.7	481792 
2014	F31	NICHD	80	16	20.0	578294 
2014	F31	NIDA	109	35	32.1	1324079 
2014	F31	NIDCD	77	21	27.3	761331 
2014	F31	NIDCR	33	14	42.4	540366 
2014	F31	NIDDK	51	15	29.4	490924 
2014	F31	NIEHS	4	2	50.0	73230 
2014	F31	NIGMS	80	24	30.0	834660 
2014	F31	NIMH	233	54	23.2	1922921 
2014	F31	NINDS	370	96	25.9	3581999 
2014	F31	NINR	73	29	39.7	1105942 
2014	F31	Total	1886	531	28.2	19323924 
2014	F32	NCCAM	5	1	20.0	57782 
2014	F32	NCI	238	47	19.7	2483392 
2014	F32	NEI	71	22	31.0	1169540 
2014	F32	NHGRI	3	1	33.3	51530 
2014	F32	NHLBI	201	60	29.9	3427033 
2014	F32	NIA	63	22	34.9	1196556 
2014	F32	NIAAA	31	10	32.3	526394 
2014	F32	NIAID	224	48	21.4	2546404 
2014	F32	NIAMS	71	12	16.9	707432 
2014	F32	NIBIB	34	3	8.8	162006 
2014	F32	NICHD	135	23	17.0	1223244 
2014	F32	NIDA	63	19	30.2	1006831 
2014	F32	NIDCD	53	22	41.5	1137815 
2014	F32	NIDCR	14	9	64.3	519191 
2014	F32	NIDDK	186	73	39.2	4118351 
2014	F32	NIEHS	25	9	36.0	489006 
2014	F32	NIGMS	412	126	30.6	6557053 
2014	F32	NIMH	127	30	23.6	1597154 
2014	F32	NINDS	188	54	28.7	2817036 
2014	F32	NINR	1	0	0.0	0 
2014	F32	Total	2145	591	27.6	31793750 
2014	F33	NHLBI	2	0	0.0	0 
2014	F33	NIDCR	1	1	100.0	63922 
2014	F33	NIGMS	5	1	20.0	40092 
2014	F33	Total	8	2	25.0	104014 
2015	F30	NCI	129	48	37.2	1837203
2015	F30	NEI	17	5	29.4	235600
2015	F30	NHGRI	2	0	0.0	0
2015	F30	NHLBI	57	22	38.6	826191
2015	F30	NIA	17	5	29.4	212124
2015	F30	NIAAA	7	5	71.4	167240
2015	F30	NIAID	68	15	22.1	547217
2015	F30	NIAMS	24	5	20.8	205359
2015	F30	NIBIB	3	1	33.3	33842
2015	F30	NICHD	20	9	45.0	380277
2015	F30	NIDA	14	5	35.7	186898
2015	F30	NIDCD	9	3	33.3	125724
2015	F30	NIDCR	12	9	75.0	385075
2015	F30	NIDDK	52	29	55.8	1150822
2015	F30	NIEHS	8	3	37.5	117626
2015	F30	NIGMS	19	4	21.1	155476
2015	F30	NIMH	33	12	36.4	439841
2015	F30	NINDS	78	19	24.4	721228
2015	F30	OD ORIP-SEPA	1	1	100.0	33962
2015	F30	Total	570	200	35.1	7761705
2015	F31	NCCIH	4	1	25.0	42084
2015	F31	NCI	336	97	28.9	3497746
2015	F31	NEI	50	13	26.0	509145
2015	F31	NHGRI	12	2	16.7	73372
2015	F31	NHLBI	141	60	42.6	2051425
2015	F31	NIA	94	18	19.1	646062
2015	F31	NIAAA	75	34	45.3	1237053
2015	F31	NIAID	195	36	18.5	1308376
